iter	Passed	Remaining
0	0	260
1	1	232
2	2	220
3	2	214
4	3	213
5	4	211
6	5	220
7	5	218
8	6	216
9	7	214
10	8	212
11	8	209
12	9	207
13	10	205
14	10	205
15	11	205
16	12	203
17	12	202
18	13	203
19	14	201
20	15	200
21	15	199
22	16	198
23	17	196
24	17	195
25	18	194
26	19	193
27	19	192
28	20	191
29	21	191
30	22	191
31	22	190
32	23	190
33	24	189
34	24	188
35	25	188
36	26	189
37	27	189
38	28	188
39	28	187
40	29	189
41	30	188
42	31	188
43	32	187
44	33	188
45	33	187
46	34	187
47	35	186
48	36	185
49	36	184
50	37	183
51	38	182
52	38	181
53	39	180
54	40	179
55	41	178
56	41	178
57	42	178
58	43	178
59	44	178
60	45	178
61	46	179
62	47	178
63	48	177
64	49	177
65	49	176
66	50	175
67	51	174
68	52	174
69	52	173
70	53	172
71	54	172
72	55	171
73	55	170
74	57	171
75	58	171
76	58	170
77	59	169
78	60	169
79	61	168
80	62	168
81	62	167
82	63	166
83	64	165
84	65	164
85	65	163
86	66	162
87	67	161
88	67	160
89	68	159
90	69	159
91	69	158
92	70	157
93	71	156
94	72	155
95	73	155
96	73	154
97	74	153
98	75	153
99	76	153
100	77	152
101	77	151
102	78	150
103	79	149
104	80	148
105	80	147
106	81	147
107	82	146
108	83	145
109	83	144
110	84	144
111	85	143
112	86	142
113	86	141
114	87	141
115	88	140
116	89	140
117	90	139
118	91	138
119	91	137
120	92	136
121	93	136
122	93	135
123	94	134
124	95	133
125	95	132
126	96	131
127	97	130
128	97	129
129	98	128
130	99	128
131	100	127
132	100	126
133	101	125
134	102	124
135	102	124
136	103	123
137	104	122
138	105	122
139	106	121
140	107	121
141	108	120
142	108	119
143	109	118
144	110	117
145	111	117
146	112	116
147	112	115
148	113	115
149	114	114
150	115	113
151	115	112
152	116	112
153	117	111
154	118	110
155	119	110
156	120	109
157	120	108
158	121	107
159	122	106
160	122	106
161	123	105
162	124	104
163	124	103
164	125	102
165	126	102
166	127	101
167	127	100
168	128	99
169	129	98
170	129	97
171	130	97
172	131	96
173	132	95
174	132	94
175	133	94
176	134	93
177	135	92
178	136	92
179	137	91
180	138	90
181	139	90
182	139	89
183	140	88
184	141	87
185	142	87
186	142	86
187	143	85
188	144	84
189	145	83
190	145	83
191	146	82
192	147	81
193	148	80
194	148	80
195	149	79
196	150	78
197	151	78
198	152	77
199	153	76
200	153	75
201	154	75
202	155	74
203	156	73
204	156	72
205	157	71
206	158	71
207	159	70
208	160	69
209	160	68
210	161	68
211	162	67
212	163	66
213	164	66
214	165	65
215	166	64
216	167	63
217	168	63
218	168	62
219	169	61
220	170	60
221	171	60
222	171	59
223	172	58
224	173	57
225	174	57
226	175	56
227	175	55
228	176	54
229	177	53
230	178	53
231	178	52
232	179	51
233	180	50
234	181	50
235	182	49
236	182	48
237	183	47
238	184	47
239	185	46
240	186	45
241	186	44
242	187	44
243	188	43
244	189	42
245	189	41
246	190	40
247	191	40
248	192	39
249	193	38
250	194	37
251	195	37
252	195	36
253	196	35
254	197	34
255	198	34
256	199	33
257	200	32
258	201	31
259	201	31
260	202	30
261	203	29
262	204	28
263	204	27
264	205	27
265	206	26
266	207	25
267	207	24
268	208	24
269	209	23
270	210	22
271	210	21
272	211	20
273	212	20
274	213	19
275	214	18
276	215	17
277	215	17
278	216	16
279	217	15
280	218	14
281	219	13
282	219	13
283	220	12
284	221	11
285	222	10
286	222	10
287	223	9
288	224	8
289	225	7
290	226	6
291	226	6
292	227	5
293	228	4
294	229	3
295	230	3
296	231	2
297	231	1
298	232	0
299	233	0
